tradeday,account,ticker,quantity
2017-09-11,XLIN01,CMG,1
2017-09-11,XLIN01,EBAY,10
2017-09-11,XLIN01,INTU,2
2017-09-11,XLIN01,JD,10
2017-09-11,XLIN01,KO,14
2017-09-11,XLIN01,KR,45
2017-09-11,XLIN01,TWTR,29
2017-09-12,XLIN01,CMG,1
2017-09-12,XLIN01,EBAY,10
2017-09-12,XLIN01,INTU,2
2017-09-12,XLIN01,JD,10
2017-09-12,XLIN01,KO,14
2017-09-12,XLIN01,KR,45
2017-09-12,XLIN01,TWTR,29
2017-09-13,XLIN01,CMG,1
2017-09-13,XLIN01,EBAY,10
2017-09-13,XLIN01,INTU,2
2017-09-13,XLIN01,JD,10
2017-09-13,XLIN01,KO,14
2017-09-13,XLIN01,KR,45
2017-09-13,XLIN01,TWTR,29
2017-09-14,XLIN01,CMG,1
2017-09-14,XLIN01,EBAY,10
2017-09-14,XLIN01,INTU,2
2017-09-14,XLIN01,JD,10
2017-09-14,XLIN01,KO,14
2017-09-14,XLIN01,KR,45
2017-09-14,XLIN01,TWTR,29
2017-09-15,XLIN01,CMG,1
2017-09-15,XLIN01,EBAY,10
2017-09-15,XLIN01,INTU,2
2017-09-15,XLIN01,JD,10
2017-09-15,XLIN01,KO,14
2017-09-15,XLIN01,KR,45
2017-09-15,XLIN01,TWTR,29
2017-09-18,XLIN01,CMG,1
2017-09-18,XLIN01,EBAY,10
2017-09-18,XLIN01,INTU,2
2017-09-18,XLIN01,JD,10
2017-09-18,XLIN01,KO,14
2017-09-18,XLIN01,KR,45
2017-09-18,XLIN01,TWTR,29
2017-09-19,XLIN01,CMG,1
2017-09-19,XLIN01,EBAY,10
2017-09-19,XLIN01,INTU,2
2017-09-19,XLIN01,JD,10
2017-09-19,XLIN01,KO,14
2017-09-19,XLIN01,KR,45
2017-09-19,XLIN01,TWTR,29
2017-09-20,XLIN01,CMG,1
2017-09-20,XLIN01,EBAY,10
2017-09-20,XLIN01,INTU,2
2017-09-20,XLIN01,JD,10
2017-09-20,XLIN01,KO,14
2017-09-20,XLIN01,KR,45
2017-09-20,XLIN01,TWTR,29
2017-09-21,XLIN01,CMG,1
2017-09-21,XLIN01,EBAY,10
2017-09-21,XLIN01,INTU,2
2017-09-21,XLIN01,JD,10
2017-09-21,XLIN01,KO,14
2017-09-21,XLIN01,KR,45
2017-09-21,XLIN01,TWTR,29
2017-09-22,XLIN01,CMG,1
2017-09-22,XLIN01,EBAY,10
2017-09-22,XLIN01,INTU,2
2017-09-22,XLIN01,JD,10
2017-09-22,XLIN01,KO,14
2017-09-22,XLIN01,KR,45
2017-09-22,XLIN01,TWTR,29
2017-09-25,XLIN01,CMG,1
2017-09-25,XLIN01,EBAY,10
2017-09-25,XLIN01,INTU,2
2017-09-25,XLIN01,JD,10
2017-09-25,XLIN01,KO,14
2017-09-25,XLIN01,KR,45
2017-09-25,XLIN01,TWTR,29
2017-09-26,XLIN01,CMG,1
2017-09-26,XLIN01,EBAY,10
2017-09-26,XLIN01,INTU,2
2017-09-26,XLIN01,JD,10
2017-09-26,XLIN01,KO,14
2017-09-26,XLIN01,KR,45
2017-09-26,XLIN01,TWTR,29
2017-09-27,XLIN01,CMG,1
2017-09-27,XLIN01,EBAY,10
2017-09-27,XLIN01,INTU,2
2017-09-27,XLIN01,JD,10
2017-09-27,XLIN01,KO,14
2017-09-27,XLIN01,KR,45
2017-09-27,XLIN01,TWTR,29
2017-09-28,XLIN01,CMG,1
2017-09-28,XLIN01,EBAY,10
2017-09-28,XLIN01,INTU,2
2017-09-28,XLIN01,JD,10
2017-09-28,XLIN01,KO,14
2017-09-28,XLIN01,KR,45
2017-09-28,XLIN01,TWTR,29
2017-09-29,XLIN01,CMG,1
2017-09-29,XLIN01,EBAY,10
2017-09-29,XLIN01,INTU,2
2017-09-29,XLIN01,JD,10
2017-09-29,XLIN01,KO,14
2017-09-29,XLIN01,KR,45
2017-09-29,XLIN01,TWTR,29
2017-10-02,XLIN01,CMG,1
2017-10-02,XLIN01,EBAY,10
2017-10-02,XLIN01,INTU,2
2017-10-02,XLIN01,JD,10
2017-10-02,XLIN01,KO,14
2017-10-02,XLIN01,KR,45
2017-10-02,XLIN01,TWTR,29
2017-10-03,XLIN01,CMG,1
2017-10-03,XLIN01,EBAY,10
2017-10-03,XLIN01,INTU,2
2017-10-03,XLIN01,JD,10
2017-10-03,XLIN01,KO,14
2017-10-03,XLIN01,KR,45
2017-10-03,XLIN01,TWTR,29
2017-10-04,XLIN01,CMG,1
2017-10-04,XLIN01,EBAY,10
2017-10-04,XLIN01,INTU,2
2017-10-04,XLIN01,JD,10
2017-10-04,XLIN01,KO,14
2017-10-04,XLIN01,KR,45
2017-10-04,XLIN01,TWTR,29
2017-10-05,XLIN01,CMG,1
2017-10-05,XLIN01,EBAY,10
2017-10-05,XLIN01,INTU,2
2017-10-05,XLIN01,JD,10
2017-10-05,XLIN01,KO,14
2017-10-05,XLIN01,KR,45
2017-10-05,XLIN01,TWTR,29
2017-10-06,XLIN01,CMG,1
2017-10-06,XLIN01,EBAY,10
2017-10-06,XLIN01,INTU,2
2017-10-06,XLIN01,JD,10
2017-10-06,XLIN01,KO,14
2017-10-06,XLIN01,KR,45
2017-10-06,XLIN01,TWTR,29
2017-10-09,XLIN01,CMG,1
2017-10-09,XLIN01,EBAY,10
2017-10-09,XLIN01,INTU,2
2017-10-09,XLIN01,JD,10
2017-10-09,XLIN01,KO,14
2017-10-09,XLIN01,KR,45
2017-10-09,XLIN01,TWTR,29
2017-10-10,XLIN01,CMG,1
2017-10-10,XLIN01,EBAY,10
2017-10-10,XLIN01,INTU,2
2017-10-10,XLIN01,JD,10
2017-10-10,XLIN01,KO,14
2017-10-10,XLIN01,KR,45
2017-10-10,XLIN01,TWTR,29
2017-10-11,XLIN01,CMG,1
2017-10-11,XLIN01,EBAY,10
2017-10-11,XLIN01,INTU,2
2017-10-11,XLIN01,JD,10
2017-10-11,XLIN01,KO,14
2017-10-11,XLIN01,KR,45
2017-10-11,XLIN01,TWTR,29
2017-10-12,XLIN01,CMG,1
2017-10-12,XLIN01,EBAY,10
2017-10-12,XLIN01,INTU,2
2017-10-12,XLIN01,JD,10
2017-10-12,XLIN01,KO,14
2017-10-12,XLIN01,KR,45
2017-10-12,XLIN01,TWTR,29
2017-10-13,XLIN01,CMG,1
2017-10-13,XLIN01,EBAY,10
2017-10-13,XLIN01,INTU,2
2017-10-13,XLIN01,JD,10
2017-10-13,XLIN01,KO,14
2017-10-13,XLIN01,KR,45
2017-10-13,XLIN01,TWTR,29
2017-10-16,XLIN01,CMG,1
2017-10-16,XLIN01,EBAY,10
2017-10-16,XLIN01,INTU,2
2017-10-16,XLIN01,JD,10
2017-10-16,XLIN01,KO,14
2017-10-16,XLIN01,KR,45
2017-10-16,XLIN01,TWTR,29
2017-10-17,XLIN01,CMG,1
2017-10-17,XLIN01,EBAY,10
2017-10-17,XLIN01,INTU,2
2017-10-17,XLIN01,JD,10
2017-10-17,XLIN01,KO,14
2017-10-17,XLIN01,KR,45
2017-10-17,XLIN01,TWTR,29
2017-10-18,XLIN01,CMG,1
2017-10-18,XLIN01,EBAY,10
2017-10-18,XLIN01,INTU,2
2017-10-18,XLIN01,JD,10
2017-10-18,XLIN01,KO,14
2017-10-18,XLIN01,KR,45
2017-10-18,XLIN01,TWTR,29
2017-10-19,XLIN01,CMG,1
2017-10-19,XLIN01,EBAY,10
2017-10-19,XLIN01,INTU,2
2017-10-19,XLIN01,JD,10
2017-10-19,XLIN01,KO,14
2017-10-19,XLIN01,KR,45
2017-10-19,XLIN01,TWTR,29
2017-10-20,XLIN01,CMG,1
2017-10-20,XLIN01,EBAY,10
2017-10-20,XLIN01,INTU,2
2017-10-20,XLIN01,JD,10
2017-10-20,XLIN01,KO,14
2017-10-20,XLIN01,KR,45
2017-10-20,XLIN01,TWTR,29
2017-10-23,XLIN01,CMG,1
2017-10-23,XLIN01,EBAY,10
2017-10-23,XLIN01,INTU,2
2017-10-23,XLIN01,JD,10
2017-10-23,XLIN01,KO,14
2017-10-23,XLIN01,KR,45
2017-10-23,XLIN01,TWTR,29
2017-10-24,XLIN01,CMG,1
2017-10-24,XLIN01,EBAY,10
2017-10-24,XLIN01,INTU,2
2017-10-24,XLIN01,JD,10
2017-10-24,XLIN01,KO,14
2017-10-24,XLIN01,KR,45
2017-10-24,XLIN01,TWTR,29
2017-10-25,XLIN01,CMG,1
2017-10-25,XLIN01,EBAY,10
2017-10-25,XLIN01,INTU,2
2017-10-25,XLIN01,JD,10
2017-10-25,XLIN01,KO,14
2017-10-25,XLIN01,KR,45
2017-10-25,XLIN01,TWTR,29
2017-10-26,XLIN01,CMG,1
2017-10-26,XLIN01,EBAY,10
2017-10-26,XLIN01,INTU,2
2017-10-26,XLIN01,JD,10
2017-10-26,XLIN01,KO,14
2017-10-26,XLIN01,KR,45
2017-10-26,XLIN01,TWTR,29
2017-10-27,XLIN01,CMG,1
2017-10-27,XLIN01,EBAY,10
2017-10-27,XLIN01,INTU,2
2017-10-27,XLIN01,JD,10
2017-10-27,XLIN01,KO,14
2017-10-27,XLIN01,KR,45
2017-10-27,XLIN01,TWTR,29
2017-10-30,XLIN01,CMG,1
2017-10-30,XLIN01,EBAY,10
2017-10-30,XLIN01,INTU,2
2017-10-30,XLIN01,JD,10
2017-10-30,XLIN01,KO,14
2017-10-30,XLIN01,KR,45
2017-10-30,XLIN01,TWTR,29
2017-10-31,XLIN01,CMG,1
2017-10-31,XLIN01,EBAY,10
2017-10-31,XLIN01,INTU,2
2017-10-31,XLIN01,JD,10
2017-10-31,XLIN01,KO,14
2017-10-31,XLIN01,KR,45
2017-10-31,XLIN01,TWTR,29
2017-11-01,XLIN01,CMG,3
2017-11-01,XLIN01,EBAY,10
2017-11-01,XLIN01,INTU,2
2017-11-01,XLIN01,JD,10
2017-11-01,XLIN01,KO,14
2017-11-01,XLIN01,KR,45
2017-11-01,XLIN01,LQD,3
2017-11-01,XLIN01,TWTR,29
2017-11-02,XLIN01,CMG,3
2017-11-02,XLIN01,EBAY,10
2017-11-02,XLIN01,INTU,2
2017-11-02,XLIN01,JD,10
2017-11-02,XLIN01,KO,14
2017-11-02,XLIN01,KR,45
2017-11-02,XLIN01,LQD,3
2017-11-02,XLIN01,TWTR,29
2017-11-03,XLIN01,CMG,3
2017-11-03,XLIN01,EBAY,10
2017-11-03,XLIN01,INTU,2
2017-11-03,XLIN01,JD,10
2017-11-03,XLIN01,KO,14
2017-11-03,XLIN01,KR,45
2017-11-03,XLIN01,LQD,3
2017-11-03,XLIN01,TWTR,29
2017-11-06,XLIN01,CMG,3
2017-11-06,XLIN01,EBAY,10
2017-11-06,XLIN01,INTU,2
2017-11-06,XLIN01,JD,10
2017-11-06,XLIN01,KO,14
2017-11-06,XLIN01,KR,45
2017-11-06,XLIN01,LQD,8
2017-11-06,XLIN01,TWTR,29
2017-11-06,XLIN01,YUMC,15
2017-11-07,XLIN01,CMG,3
2017-11-07,XLIN01,EBAY,10
2017-11-07,XLIN01,INTU,2
2017-11-07,XLIN01,JD,10
2017-11-07,XLIN01,KO,14
2017-11-07,XLIN01,KR,45
2017-11-07,XLIN01,LQD,8
2017-11-07,XLIN01,TWTR,29
2017-11-07,XLIN01,YUMC,15
2017-11-08,XLIN01,CMG,3
2017-11-08,XLIN01,EBAY,10
2017-11-08,XLIN01,INTU,2
2017-11-08,XLIN01,JD,10
2017-11-08,XLIN01,KO,14
2017-11-08,XLIN01,KR,45
2017-11-08,XLIN01,LQD,8
2017-11-08,XLIN01,TWTR,29
2017-11-08,XLIN01,YUMC,15
2017-11-09,XLIN01,CMG,3
2017-11-09,XLIN01,EBAY,10
2017-11-09,XLIN01,INTU,2
2017-11-09,XLIN01,JD,10
2017-11-09,XLIN01,KO,14
2017-11-09,XLIN01,KR,45
2017-11-09,XLIN01,LQD,8
2017-11-09,XLIN01,TWTR,29
2017-11-09,XLIN01,YUMC,15
2017-11-10,XLIN01,CMG,3
2017-11-10,XLIN01,EBAY,10
2017-11-10,XLIN01,INTU,2
2017-11-10,XLIN01,JD,10
2017-11-10,XLIN01,KO,14
2017-11-10,XLIN01,KR,45
2017-11-10,XLIN01,LQD,8
2017-11-10,XLIN01,SQ,10
2017-11-10,XLIN01,TWTR,29
2017-11-10,XLIN01,YUMC,15
2017-11-13,XLIN01,CMG,3
2017-11-13,XLIN01,EBAY,10
2017-11-13,XLIN01,INTU,2
2017-11-13,XLIN01,JD,10
2017-11-13,XLIN01,KO,14
2017-11-13,XLIN01,KR,45
2017-11-13,XLIN01,LQD,8
2017-11-13,XLIN01,SQ,10
2017-11-13,XLIN01,TWTR,29
2017-11-13,XLIN01,YUMC,15
2017-11-14,XLIN01,CMG,3
2017-11-14,XLIN01,EBAY,10
2017-11-14,XLIN01,INTU,2
2017-11-14,XLIN01,JD,10
2017-11-14,XLIN01,KO,14
2017-11-14,XLIN01,KR,45
2017-11-14,XLIN01,LQD,8
2017-11-14,XLIN01,SQ,10
2017-11-14,XLIN01,TWTR,29
2017-11-14,XLIN01,YUMC,15
2017-11-15,XLIN01,CMG,3
2017-11-15,XLIN01,EBAY,10
2017-11-15,XLIN01,INTU,2
2017-11-15,XLIN01,JD,10
2017-11-15,XLIN01,KO,14
2017-11-15,XLIN01,KR,45
2017-11-15,XLIN01,LQD,8
2017-11-15,XLIN01,SQ,10
2017-11-15,XLIN01,TWTR,29
2017-11-15,XLIN01,YUMC,15
2017-11-16,XLIN01,CMG,3
2017-11-16,XLIN01,EBAY,10
2017-11-16,XLIN01,INTU,2
2017-11-16,XLIN01,JD,10
2017-11-16,XLIN01,KO,14
2017-11-16,XLIN01,KR,45
